Placing,Bird,Votes
1,Kererū,5833
2,Kākāpō,3772
3,Kakī (Black Stilt),2995
4,Orange-fronted Parakeet (Kākāriki Karaka),2452
5,Kea,1984
6,Fantail (Pīwakawaka),1865
7,Takahē,1863
8,Hihi (Stitchbird),1750
9,Blue Duck (Whio),1695
10,Ruru (Morepork),1586
11,Black Robin,1508
12,Yellow Eyed Penguin (Hoiho),1359
13,Kārearea (New Zealand Falcon),1218
14,Tūī,1162
15,Kōkako,1156
16,Banded Dotterel (Pohowera),1008
17,Rockhopper Penguin,1004
18,Albatross (Toroa),962
19,Little Penguin (Kororā),892
20,Kākā,764
21,Fairy Tern (Tara iti),725
22,Kingfisher (Kōtare),663
23,Bittern (Matuku),606
24,Bellbird (Korimako),496
25,Kiwi,489
26,Rock Wren,489
27,Rowi (Okarito Brown Kiwi),476
28,Tomtit (Miromiro),463
29,Grey Warbler (Riroriro),442
30,Black-billed Gull (Tarāpuka),441
31,New Zealand Robin (Toutouwai),440
32,Saddleback (Tīeke),407
33,Weka,402
34,Hutton's Shearwater (Kaikōura Tītī),379
35,Royal Spoonbill (Kōtuku Ngutupapa),334
36,Tawaki (Fiordland Crested Penguin),329
37,Pūkeko,315
38,Shag (Kawau),297
39,Gannet (Tākapu),285
40,Rifleman (Tītipounamu),256
41,Barn Owl,215
42,Wrybill (Ngutuparore),213
43,New Zealand Dotterel (Tūturiwhatu),207
44,Whenua Hou Diving Petrel,205
45,Harrier (Kāhu),177
46,Black Petrel (Tāiko),169
47,Shore Plover (Tuturuatu),163
48,Black-fronted Tern (Tarapirohe),162
49,Silvereye (Tauhou),153
50,Bar-tailed Godwit (Kuaka),131
51,Mohua,106
52,Fernbird (Mātātā),96
53,Brown Teal (Pāteke),72
54,Whitehead (Pōpokatea),70
55,Spotless Crake (Pūweto),68
56,Shining Cuckoo (Pīpīwharauroa),66
57,Scaup (Pāpango),61
58,White-faced Heron (Matuku Moana),57
59,Westland Petrel (Tāiko),55
60,Arctic Skua,53
61,South Polar Skua,50
